,Date,Price,Open,High,Low,Volume,pct_change,MA10,MA10_td,MA30,MA30_td,MA50,MA50_td,%K,%K_td,%D,%D_td,RSI,RSI_td,Momentum,Momentum_td,EMA12,EMA26,MACD,Signal,MACD_td,TP,SMA_TP,MD,CCI,CCI_td,MA,STD,Upper_BB,Lower_BB,BB_td,ATR,OBV,OBV_td,VWAP,VWAP_td,Fib_23.6,Fib_38.2,Fib_50.0,Fib_61.8,Tenkan_sen,Kijun_sen,Senkou_span_A,Senkou_span_B,Chikou_span,PMO,PMO_td,Volatility,Volatility_Ratio,Volatility_Ratio_td,TSI,TSI_td
0,2010-07-18,0.1,0.0,0.1,0.1,80.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,,,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,,,,,0.1,,0,,,0,,0
1,2010-07-19,0.1,0.1,0.1,0.1,570.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,,,,,0.1,,0,,,0,,0
2,2010-07-20,0.1,0.1,0.1,0.1,260.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,,,,,0.1,,0,,,0,,0
3,2010-07-21,0.1,0.1,0.1,0.1,580.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,,,,,0.1,,0,,,0,,0
4,2010-07-22,0.1,0.1,0.1,0.1,2160.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,,,,,0.1,,0,,,0,,0
5,2010-07-23,0.1,0.1,0.1,0.1,2400.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,,,,,0.1,,0,,,0,,0
6,2010-07-24,0.1,0.1,0.1,0.1,500.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,,,,,0.1,,0,,,0,,0
7,2010-07-25,0.1,0.1,0.1,0.1,1550.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,,,,,0.1,,0,,,0,,0
8,2010-07-26,0.1,0.1,0.1,0.1,880.0,0.0,,0,,0,,0,,0,,0,,0,,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,,,0,,0
9,2010-07-27,0.1,0.1,0.1,0.1,3370.0,0.0,0.1,0,,0,,0,,0,,0,,0,,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,,,0,,0
10,2010-07-28,0.1,0.1,0.1,0.1,4390.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,,,0,,0
11,2010-07-29,0.1,0.1,0.1,0.1,8060.000000000001,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,,,0,,0
12,2010-07-30,0.1,0.1,0.1,0.1,3020.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,,,0,,0
13,2010-07-31,0.1,0.1,0.1,0.1,4019.9999999999995,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,,,0,,0
14,2010-08-01,0.1,0.1,0.1,0.1,2600.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,,,0,,0
15,2010-08-02,0.1,0.1,0.1,0.1,3600.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,,,0,,0
16,2010-08-03,0.1,0.1,0.1,0.1,9820.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,,,0,,0
17,2010-08-04,0.1,0.1,0.1,0.1,3490.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,,,0,,0
18,2010-08-05,0.1,0.1,0.1,0.1,5030.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,,,,0,,,,,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,,,0,,0
19,2010-08-06,0.1,0.1,0.1,0.1,1400.0,0.0,0.1,0,,0,,0,,0,,0,,0,0.0,0,0.1,0.1,0.0,0.0,0,0.10000000000000002,0.10000000000000002,0.0,,0,0.1,0.0,0.1,0.1,,0.0,0.0,0,0.1,0,55822.6768,45155.011600000005,36533.200000000004,27911.388400000003,0.1,,,,0.1,,0,,,0,,0
